cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
50-00-0,Formaldehyde,yes,100,U122,,500
50-07-7,Mitomycin C,yes,10,U010,,500
50-14-6,Ergocalciferol,yes,,,,1000
50-18-0,Cyclophosphamide,yes,10,U058,,
50-29-3,DDT,yes,1,U061,,
50-32-8,Benzo(a)pyrene,yes,1,U022,,
50-55-5,Reserpine,yes,5000,U200,,
51-03-6,Piperonyl butoxide,yes,,,,
51-21-8,Fluorouracil,yes,,,,500
51-28-5,2-4-Dinitrophenol,yes,10,P048,,
51-43-4,Epinephrine,yes,1000,P042,,
51-75-2,2-Chloro-N-(2-chloroethyl)-N- methylethanamine,yes,,,,10
51-79-6,"Carbamic acid, ethyl ester",yes,100,U238,,
51-83-2,Carbachol chloride,yes,,,,500
52-68-6,Trichlorfon,yes,100,,,
52-85-7,Famphur,yes,1000,P097,,
53-70-3,Dibenz(a-h)anthracene,yes,1,U063,,
53-96-3,2-Acetylaminofluorene,yes,1,U005,,
54-11-5,Nicotine,yes,100,P075,,100
54-62-6,Aminopterin,yes,,,,500
55-18-5,N-Nitrosodiethylamine,yes,1,U174,,
55-21-0,Benzamide,yes,,,,
55-38-9,Fenthion,yes,,,,
55-63-0,Nitroglycerin,yes,10,P081,,
55-91-4,Diisopropylfluorophosphate,yes,100,P043,,100
56-04-2,Methylthiouracil,yes,10,U164,,
56-23-5,Carbon tetrachloride,yes,10,U211,,
56-25-7,Cantharidin,yes,,,,100
56-35-9,bis(Tributyltin) oxide,yes,,,,
56-38-2,Parathion,yes,10,P089,,100
56-49-5,3-Methylcholanthrene,yes,10,U157,,
56-53-1,Diethylstilbestrol,yes,1,U089,,
56-55-3,Benz(a)anthracene,yes,10,U018,,
56-72-4,Coumaphos,yes,10,,,100
57-12-5,Cyanide compounds,yes,10,,,
57-14-7,1-1-Dimethylhydrazine,yes,10,U098,,1000
57-24-9,Strychnine,yes,10,P108,,100
57-33-0,Pentobarbital sodium,yes,,,,
57-41-0,Phenytoin,yes,,,,
57-47-6,Physostigmine,yes,100,P204,,100
57-55-6,Propylene glycol,yes,,,,
