cas_number,chemical_name,toxicity_type,listing_mechanism,nsrl_ug,madl_ug,date_listed
26148-68-5,"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",cancer,AB,2,,1990-01-01
154229-18-2,Abiraterone acetate,"developmental, female reproductive, male reproductive",FR,,,2016-04-08
75-07-0,Acetaldehyde,cancer,SQE,90,,1988-04-01
60-35-5,Acetamide,cancer,AB,10,,1990-01-01
59-66-5,Acetazolamide,developmental,FR,,,1999-08-20
34256-82-1,Acetochlor,cancer,SQE,,,1989-01-01
546-88-3,Acetohydroxamic acid,developmental,FR,,,1990-04-01
53-96-3,2-Acetylaminofluorene,cancer,SQE,0.2,,1987-07-01
62476-59-9,Acifluorfen sodium,cancer,AB,,,1990-01-01
79-06-1,Acrylamide,cancer,AB,0.2,,1990-01-01
79-06-1,Acrylamide,"developmental, male reproductive",AB,,140,2011-02-25
107-13-1,Acrylonitrile,cancer,FR,0.7,,1987-07-01
50-76-0,"Actinomycin D [Basis for listing changed effective February 22, 2013]",cancer,FR,0.00008,,1989-10-01
50-76-0,Actinomycin D,developmental,FR,,,1992-10-01
3688-53-7,AF-2;[2-(2-furyl)-3-(5-nitro-2-furyl)]acrylamide,cancer,SQE,3,,1987-07-01
---,Aflatoxins,cancer,SQE,,,1988-01-01
15972-60-8,Alachlor,cancer,SQE,,,1989-01-01
---,Alcoholic beverages,cancer,LC,,,2011-04-29
---,"Alcoholic beverages, when associated with alcohol abuse",cancer,SQE,,,1988-07-01
309-00-2,Aldrin,cancer,SQE,0.04,,1988-07-01
302-79-4,All-trans retinoic acid,developmental,SQE,,,1989-01-01
---,"Aloe vera, non-decolorized whole leaf extract",cancer,LC,,,2015-12-04
28981-97-7,Alprazolam,developmental,FR,,,1990-07-01
645-05-6,Altretamine,"developmental, male reproductive",FR,,,1999-08-20
665-66-7,Amantadine hydrochloride,developmental,FR,,,2001-02-27
39831-55-5,Amikacin sulfate,developmental,FR,,,1990-07-01
117-79-3,2-Aminoanthraquinone,cancer,LC,20,,1989-10-01
60-09-3,p-Aminoazobenzene,cancer,AB,,,1990-01-01
97-56-3,o-Aminoazotoluene,cancer,SQE,0.2,,1987-07-01
92-67-1,4-Aminobiphenyl (4-aminodiphenyl),cancer,LC,0.03,,1987-02-27
95-85-2,2-Amino-4-chlorophenol,cancer,LC,,,2019-09-13
81-49-2,"1-Amino-2,4-dibromoanthraquinone",cancer,AB,,,1997-08-26
6109-97-3,3-Amino-9-ethylcarbazole hydrochloride,cancer,SQE,9,,1989-07-01
153-78-6,2-Aminofluorene,cancer,SQE,,,1999-01-29
125-84-8,Aminoglutethimide,developmental,FR,,,1990-07-01
---,Aminoglycosides,developmental,FR,,,1992-10-01
82-28-0,1-Amino-2-methylanthraquinone,cancer,LC,5,,1989-10-01
712-68-5,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",cancer,SQE,0.04,,1987-07-01
119-34-6,4-Amino-2-nitrophenol,cancer,SQE,,,1999-01-29
54-62-6,Aminopterin,"developmental, female reproductive",SQE,,,1987-07-01
19774-82-4,Amiodarone hydrochloride,"developmental, female reproductive, male reproductive",FR,,,1997-08-26
33089-61-1,Amitraz,developmental,AB,,,1999-03-30
61-82-5,Amitrole,cancer,SQE,0.7,,1987-07-01
